,PartNumber,nQuebras,LargerDiameter,StemDiameter,TotalLength,ChannelLength,PropellerAngle,Refrigeration,Supplier__3M TECHNICAL CERAMICS ZWEIGNIEDERLA,Supplier__ALLIANCE CNC,Supplier__BLICKLE WERKZEUGE GMBH & CO KG,Supplier__BOTEK-PRAEZISIONS-BOHRTECHNIK,Supplier__FERRAMENTAS GERAIS COMERCIO E,Supplier__FERRAMENTAS NIPOTEC IND.E,Supplier__FORM TOOL TECHNOLOGY,"Supplier__FORM TOOL TECHNOLOGY, INC.",Supplier__FULLERTON TOOL COMPANY INC.,Supplier__GUHRING BRASIL FERR.LTDA,Supplier__GUHRING OHG,Supplier__HARTMETALLWERKZEUGFABRIK ANDREAS,Supplier__ISCAR DO BRASIL COMERCIAL LTDA,Supplier__KOMET GROUP GMBH,Supplier__LMT TOOLS BRASIL FERRAMENTAS LTDA.,Supplier__MIKRON CORP. MONROE,Supplier__NÃO ATRIBUÍDO,Supplier__OSBORN INTERNATIONAL GMBH ZN DER JA,Supplier__OSTREM TOOL COMPANY,Supplier__ROBERT BOSCH - TOOLING CENTER,Supplier__SANDVIK DO BRASIL S/A,Supplier__STARTEC INDUSTRIA E COMERCIO LTDA E,Supplier__SUMITOMO ELECTRIC HARDMETAL DO BRAS,Supplier__SUMITOMO ELECTR¡C HARTMETALL GMBH,Supplier__SUMITOMO ELETRIC HARTMETTAL GMBH,Supplier__TBT.TIEFBOHRTECHNIK GMBH,Supplier__TECNAL FERRAMENTARIA LTDA,Supplier__WALTER DO BRASIL LTDA.,Supplier__WEISSKOPF WEKZEUGE GMBH,Supplier__WERKZEUGFABRIK MANFRED SCHWEGLER,Supplier__WOLF WERKZEUGTECHNOLOGIE GMBH,family_000-AM,family_001-BA,family_004-BF,family_005-BG,family_007-BK,family_008-BN,family_009-BP,family_011-BR,family_012-BS,family_018-BY,family_061-FC,family_063-FG,family_080-GC,family_088-GL,family_092-GP,family_198-PG,family_210-RA,family_212-RC,family_217-RH,family_219-RK,Desconhecido,HSS,HSS-Co,HSS-E,K05-UF,K05/15-UF,K10-F,K15,K15/K20,K20-F,K30-40/UF,K30-40UF,K30/40,K30/40-UF,K30/K40-UF,Na,S20,S20/B,k30/40-UF,faixa_de_quebras
0,4721700050,5,0.014254308205091836,0.026548672566371685,0.017142857142857144,0.01079136690647482,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,4700101394,26,0.0688603645131551,0.42477876106194684,0.32571428571428573,0.35251798561151076,0.003000300030003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,4700101395,28,0.061768668888731296,0.33628318584070793,0.32571428571428573,0.35251798561151076,0.003000300030003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,4700500778,5,0.021346003829515636,0.1592920353982301,0.13142857142857142,0.11510791366906475,0.0027002700270027003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
4,4700700155,9,0.03552939507836324,0.1592920353982301,0.17714285714285713,0.17266187050359713,0.0015001500150015,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
5,4721900150,4,0.02872136727891639,0.1592920353982301,0.6,0.1510791366906475,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,4700400336,21,0.007517197361889227,0.42477876106194684,0.4514285714285714,0.2517985611510791,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,4700400344,92,7.091695624423806e-05,0.42477876106194684,0.4514285714285714,0.26618705035971224,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,4700400345,142,0.010708460392879938,0.33628318584070793,1.0,0.8201438848920863,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,4700400351,253,0.001843840862350188,0.42477876106194684,0.6628571428571428,0.5323741007194245,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
